trackId,title,description,genre,developer,url,rating,ratingCount,keyword
1300256105,Play and Learn Science,"The Play and Learn Science app contains a suite of educational kids games from PBS KIDS designed to encourage early science learning!

Kids can play a range of games that help them learn core scientific concepts, all while building and developing problem-solving skills.

As kids play, adults have access to co-learning prompts that offer ways to create “teachable moments” that help kids see how science is part of the world around them. It's easy to teach science through play and real-world experiences!

The Play and Learn Science app offers a variety of tips and strategies that help adults nurture a child’s scientific thinking. Hands-on activities for every game help bring the experiences in the app into the real world. This learning app encourages education outside of the app with co-learning activities for children and parents!  Make learning science fun with Play and Learn Science today!  

KEY FEATURES  

GAMES THAT TEACH
 • 15 engaging games covering core science topics
 • Roll different objects down ramps & over different materials to learn about the physics of moving objects and the forces that push and pull them. 
• Play with the sun and the shadows! Learn how light and objects interact, even during different times of the day .
• How does the weather work? Play with different weather controls to understand temperature and how it affects living things.  

MAKE LEARNING FUN
 • Kids from pre-school to kindergarten (pre-k) can get a fun head-start on their education. 
• Learn about Earth Science, Physical Science and Life Science through fun games. 
• Reward your kids with fun drawing tools and stickers for each game they play.  

SPEND TIME WITH YOUR CHILD 
• Fun co-learning activities that the whole family can enjoy! Go outside and see how the science really works! 
• Developed in collaboration with early childhood experts for the optimal learning experience .
• Read tips for parent-child engagement and activities that bring the lessons out of the lab and into the real world.  

COMPLETELY BILINGUAL 
• Switch between English and Spanish with the push of a button.   It’s time for your kids to know how learning science can be fun! Start playing and learning – download it for free!  

Play & Learn Science es una aplicación gratuita de
PBS Kids®, una de las marcas de medios educativos
más reconocidas y de mayor confianza en los
Estados Unidos. Esta aplicación bilingue educa a los
niños sobre Física, La Tierra, El Medio Ambiente, La
Vida y más, mediante divertidos experimentos para
compartir entre padres e hijos. Con más de 12
divertidos juegos que motivan la mente de los niños
a aprender más sobre ciencia, Ud. podrá pasar
momentos muy entretenidos con su hijo, y motivar
la exploración y la conversación más allá de el uso de
esta aplicación. Además es una herramienta perfecta
para ¡aprender y practicar el inglés!

ABOUT PBS KIDS
 The Play and Learn Science app is part of PBS KIDS’ ongoing commitment to helping kids build the skills they need to succeed in school and in life. PBS KIDS, the number one educational media brand for kids, offers all children the opportunity to explore new ideas and new worlds through television and digital media, as well as community-based programs.  For more PBS KIDS apps, visit http://www.pbskids.org/apps.   

ABOUT READY TO LEARN 
The Play and Learn Science app was created as part of the Corporation for Public Broadcasting (CPB) and PBS Ready To Learn Initiative with funding from the U.S. Department of Education. The contents of the app were developed under a cooperative agreement #U295A150003, from the U.S. Department of Education. However, these contents do not necessarily represent the policy of the Department of Education, and you should not assume endorsement by the Federal Government.  

PRIVACY
 Across all media platforms, PBS KIDS is committed to creating a safe and secure environment for children and families and being transparent about what information is collected from users.",Education,PBS Kids,https://apps.apple.com/us/app/play-and-learn-science/id1300256105?uo=4,4.18421,456,Life Science
1168348542,Zero: Fasting & Health Tracker,"Stop counting calories and start intermittent fasting with Zero, the world’s most popular fasting tracker and metabolic health app. 

Zero maximizes your body’s natural fat-burning ability between your last meal today and your first meal tomorrow. Based on the science of intermittent fasting, we help you extend your natural overnight fast to increase fat burning and accelerate weight loss. By building simple, science-backed habits, you’ll lose weight, preserve muscle, and live better, longer. Best of all, you’ll do this without counting calories, tracking macros, or restricting foods.

WE’RE #1 FOR A REASON

Zero Members have lost millions of pounds — and that’s no accident. Featured in GQ, Good Housekeeping, Men’s Health, Fortune, Techcrunch, Women’s Health, The Tim Ferriss Show, The Joe Rogan Experience, and more, Zero is the world’s most popular intermittent fasting app for all skill levels, from those embarking on their first health journey to expert health and fitness coaches. 

ZERO MEMBERS HAVE LOST MILLIONS OF POUNDS

Zero is a science-backed, evidence-based approach to losing weight and burning fat effectively. In just 28 days, you'll start to see transformative results, beginning with weight loss and extending to better mood and improved energy, all while transforming your relationship with food. By the 3-month mark, you'll have improved your body composition along with metabolic health markers including waist circumference, fat mass, blood pressure, glucose, and insulin. And the best part? You’ll never need another diet again.

START WITH JUST ONE TAP

The world's most popular intermittent-fasting Timer helps you track your fasts, your progress, and your goals. Start your Timer and stay on target with all the popular intermittent-fasting types, including: 

• 13-HOUR FAST, or “circadian- rhythm fast,” based on research by Dr. Satchin Panda (Salk Institute) that aligns your eating window with your body’s internal clock

• 16-HOUR FAST, or the 16:8 intermittent fast, used by celebrities, athletes, and millions of Zero Members to manage weight and improve metabolic wellbeing

• 18-HOUR FAST, or 18:6, for more advanced fasters

• Other popular fasts such as OMAD (one meal a day), the 20:4 fast, and custom prolonged fasts of up to 7 days

BURN FAT FASTER

Zero has helped millions of Members form new habits and achieve their weight-loss and health-gain goals. In just a few weeks, you’ll shift your metabolism towards burning more fat with real-time tips, personalized stats, and our exclusive Fat-Burning Mode. Discover insights into the changes your body is experiencing, get daily guidance, and break through plateaus with this one-of-a-kind approach powered by the science of intermittent fasting. 

EDUCATE
	
Learn the science behind the daily habits that help you succeed on your journey towards weight loss and health gain. Every week, the Zero science team distills cutting-edge health research down to actionable steps and delivers the latest insights on everything you need to know to get and stay healthy. You’re never alone with Zero as your guide. 

MOTIVATE

Stay focused with expert-led, science-backed content, community Challenges, achievements, and more. Zero is your partner for building healthy habits that propel you towards better, lasting health.

REWARD

Streaks and Badges celebrate your daily progress throughout your health journey, helping you make progress in the short term while achieving your long term health goals. 

Download Zero to get started.

Payment for Zero Plus will be charged to your iTunes Account when you subscribe. Subscriptions automatically renew unless auto-renew is turned off at least 24 hours before the end of the current period. Manage your subscription by going to your Account Settings.

Read more terms & conditions:
Terms of use: https://www.zerolongevity.com/terms-of-use
Privacy policy: https://www.zerolongevity.com/privacy-policy",Health & Fitness,"Zero Longevity Science, Inc.",https://apps.apple.com/us/app/zero-fasting-health-tracker/id1168348542?uo=4,4.8248,444665,Life Science
1264941198,Baby Panda Preschool Science,"Search for ""BabyBus"" for even more free panda games for you to try! 

At Dinosaur World, you will learn how dinosaurs behave and meet other animals. Ski, play sand, and cook delicious food. Are you ready to explore Dinosaur World? Let's go! 


Explore Animal World
Hatch dinosaur eggs and feed baby dinosaurs; play basketball with tyrannosaurus! Play with sea lions and put on a sea show; deliver messages with pigeons and reach destination safely! 

Experience the four seasons
Bring delicious food and go on an outing in the woods; chase butterflies and have a picnic in the meadows; run a farm to harvest wheat and fruits; go skateboarding, build snowman, and have snowball fights in the snow! 

Learn about fruits and vegetables
Get to know fruits and vegetables such as corn, carrot, and grapes; you can also try out gourmet cooking: cake, fruit platter, pizza, cookies...they all look so delicious! 

What else do you want to try? Driving a car, steering a ship, or flying an airplane? Or play the dinosaur puzzle? Many more fun games at Dinosaur World are available for you to explore!

About BabyBus
—————
At BabyBus, we dedicate ourselves to sparking kids' creativity, imagination and curiosity,and designing our products through the kids' perspective to help them explore the world on their own.   

Now BabyBus offers a wide variety of products, videos and other educational content for over 250 million fans from ages 0-8 around the world! We have produced more than 150 children's educational games, 700 children's songs, and animations of various themes spanning the arts, health, and science.                      
—————
Contact us: ser@babybus.com
Visit us: http://app.babybus.com",Education,"BABYBUS CO., LIMITED",https://apps.apple.com/us/app/baby-panda-preschool-science/id1264941198?uo=4,3.97419,155,Life Science
306621789,HuffPost - News & Politics,"HuffPost is a Pulitzer Prize-winning digital source of news. We report with empathy and put people at the heart of every story, whether it's about news, politics, lifestyle or entertainment. We believe news is personal and real life is news. If something matters to our readers, it matters to us.

• Stay informed with breaking news alerts and top story digests.
• Browse articles, videos, podcasts and interactive content about a diverse range of topics and perspectives
• Hear from voices that are not always part of the conversation
• Enjoy all of HuffPost's editions in one app. (HuffPost is truly both global and local, with locally staffed newsrooms and editions around the world.)",News,The Huffington Post,https://apps.apple.com/us/app/huffpost-news-politics/id306621789?uo=4,4.5622,24591,Life Science
538790574,Earth School - Science Games,"The spaceship is about to launch! Kids, please make full preparations. The next stop is Earth School!

Here, you will discover knowledge about the Earth and the universe.

Begin with the Big Bang, then gradually learn the origin of black holes, planets, and galaxies. Interactive animations and easy operations inspire interest in science.

Our spaceship is now in the solar system. We can overlook the Earth and find that nearly 71% of its surface is covered by water. By the way, do you know where water came from? And that where there is water, there is life? And how did life originate? 

In Earth School, life's origin, cell division, and life evolution are all presented with fun animations and games to allow learning through play and feeling the charm of science. By examining the life of the dinosaurs, children learn the foundational concepts of evolution. 

Features
• 14 mini science games help children feel the charm of science.
• General knowledge of the universe and the Earth.
• Super-easy interactions, recommended for kids aged 2-7.
• No third-party advertising.
• Works offline.

About Yateland
Yateland crafts apps with educational value, inspiring preschoolers across the globe to learn through play! With each app we make, we are guided by our motto: ""Apps children love and parents trust."" Learn more about Yateland and our apps at https://yateland.com.

Privacy Policy
Yateland is committed to protecting users' privacy. If you would like to know more about how we deal with these matters, please read our full privacy policy at https://yateland.com/privacy.",Education,Yateland Learning Games for Kids Limited,https://apps.apple.com/us/app/earth-school-science-games/id538790574?uo=4,4.21102,3848,Life Science
1484295610,Idle evolution: Life on Earth,"""Life on Earth"" is not an ordinary idle game, but also a professional education game about life evolution. You can not only experience the easy and funny idle evolution games, but also learn the knowledge about mysterious ancient creatures and human culture.

---Story background---
Life has evolved for 4 billion years. Since the birth of human beings, only a million of years have passed. We can only occupy a few minutes on the timeline of life evolution. In the struggle against nature, these great prehistory creatures have stepped from the ocean to the land, from the low level to the high level, and on the Earth - our common home, they painted a colorful and shining historical picture!

You are a scientist in the paleontology laboratory. With the help of your robot assistant, you can study the history of paleontology, draw a blueprint for life evolution, and unlock the mysteries of life. 

●Casual idle game
This is a casual idle game. You can enjoy the real joy of game with less time and efforts!

●Popular science education
In Life On Earth, there are lots of professional knowledge of ancient creatures, you can learn new areas that you have never known before, and feel the greatness of life evolution!

●Biological restoration
Restoring the various real forms of ancient creatures, displaying their lifestyles and habits, just like communicate with ancient creatures face-to-face! Watching life evolve from spores to fish, dinosaurs, and humans.

●Intellectual equipment technology
Improve intellectual equipment technology, and with the power of technology, to restore the process of life evolution and fasten the speed of life evolution.

●Mysteries of Earth
Upgrade evolution technology, speed up the evolution of Paleontology, draw a blueprint for life evolution, and unlock the mysteries of life. 

The team members of Life On Earth are ancient creatures enthusiasts. In order to make this game, we have searched a large amount of literature materials. If you are also interested in life evolution, download Life On Earth to join us now! 

If you have any suggestion, welcome to send an email to us. We may add it in next versions.

Email: support@domobile.com
Website: https://www.domobile.com

Auto-renewable Subscription Rules
These rules are attachments of User Agreement. If there is any conflict between these Rules and the User Agreement, these Rules shall prevail.
If you need to use Life On Earth subscription service, you should agree to these rules in advance.

You understand and agree:
1.The subscription is automatic renewal service under the premise that you agree to use the Life On Earth subscription service. If you agree to use the subscription service, you are deemed to authorize DoMobile, when the subscription about to expire, have the rights to charge fee of next billing cycle from your iTunes account (hereinafter referred to as “accounts”) balances.
The subscription service is provided on the premise that you have bound with the above accounts, and DoMobile can successfully charge from the accounts. You are responsible for any failed renewal due to insufficient debit balance in the above accounts.

2.Subscription will automatically renew weekly. You can select the prefer rate.

3.Subscription automatically renews unless it is turned off at least 24-hours before the end of the current period.

4. You may suspend or terminate this subscription service by:
Open the phone Settings -> iTunes and App Store -> Apple ID, select “View Apple ID”, enter the “Account Settings” page, click “Subscribe”, select Life On Earth and cancel subscription.

5.Terms of use: http://tpkapp.domogame.com/evolution/loeen.html

6.Privacy Policy: https://www.domobile.com/best/privacy.html",Games,"DoMobile Co., Ltd.",https://apps.apple.com/us/app/idle-evolution-life-on-earth/id1484295610?uo=4,4.60006,5546,Life Science
924977069,Facts - Daily Random Trivia,"Knowledge is power. Learn interesting things every day and surprise everyone with Daily Random Facts!

Want everyone to think you’re super smart? Amaze others with your unique knowledge of facts and stand out from the crowd. Or just try to learn something new every day. You’ll have loads of fun with Daily Random Facts so try it out today for free!

Explore thousands of facts and interesting content, sorted in categories like:


- Human body facts
- History dates
- Facts about animals
- Life hacks
- Facts for kids
- Facts about sports
- Trivia questions and answers
- Science facts
- Riddles
- And many more!

And now with Facts Premium you can:


+ Remove ads
+ Save your favorite facts
+ Change font and colors
+ Search facts by word
+ Browse facts curated in categories

To get access to the Facts Premium content and functionality, you can choose between a lifetime, monthly, and yearly auto-renewable subscription. This is a recurring transaction that will be charged to your iTunes Account at confirmation of purchase and will automatically renew unless you cancel it at least 24 hours before the end of your subscription. Renewals will be charged at the same cost within 24 hours prior to the end of the current period. You can manage your subscriptions and auto-renewal can be turned off by going to your iTunes Account Settings after purchase.

Privacy Policy: https://monkeytaps.net/privacy
Terms of Use: https://monkeytaps.net/terms",Reference,Monkey Taps,https://apps.apple.com/us/app/facts-daily-random-trivia/id924977069?uo=4,4.77809,61792,Life Science
1329077737,Greensboro Science Center,"Experience the Greensboro Science Center like never before! Augmented reality will enable you to bring exhibits to life right from your mobile phone or tablet. A daily events schedule featuring keeper talks, OmniSphere Theater shows and special events will help you plan your day.",Education,The Natural Science Center of Greensboro Inc,https://apps.apple.com/us/app/greensboro-science-center/id1329077737?uo=4,4.33333,9,Life Science
1467785755,Animal Life - Science for Kids,"Join Haley, our child-friendly science expert, on an interactive guided tour of the Animal Kingdom.

Build your own animal, visit the ocean floor, answer trivia questions, and much more! 

========

8 reasons why parents and kids adore Tappity apps:

• You get to interact with a real person: Haley, our science expert!
• You get to learn by reading, listening, and touching. Our app is 100% interactive and 100% narrated!
• You're learning real science--our lessons align with the Next Generation Science Standards (NGGS).
• You learn by play, just like you would in a game!
• You get to test your knowledge with fun science trivia!
• You're safe from 3rd party advertisements. Always.
• You can play offline. Perfect for long waits, drives, and flights.
• You can try it for free right now!

=========

In-App Purchases

This app is free to try! With no activation necessary, you can try out complete, playable lessons. If you'd like to unlock all of our content, there is a one-time payment. Try it out now! 


=========

Feedback and Support:

Have feedback or need help? Contact us at any time: hey@tappityapp.com

========= 

Who are we: 

Tappity believes in the power of storytelling and interactivity to make learning fun. We encourage play by including interactive engagement on every page and bringing in real-life science experts to guide your child. Tappity is currently used across 20 countries, and we’ll always offer an ad-free and safe environment for your children. Learn more about us at www.tappityapp.com.

Privacy Policy: http://tappityapp.com/privacy

Terms and Conditions: http://tappityapp.com/terms""",Education,"Tappity, Inc.",https://apps.apple.com/us/app/animal-life-science-for-kids/id1467785755?uo=4,3.27273,11,Life Science
509970189,Easy Stop Watch&Timer,"Simple and easy stop watch & timer.
Portrait and landscape mode support

How to use: 
▶ Stop Watch
Press - start counting
Re-press - stop counting
Long press - Reset

▶ Timer
Setting icon 
-setting numbers
- Vibration and Sound On/Off
Press - Start count down
Long press - Reset",Utilities,"Life &Science Co.,Ltd.",https://apps.apple.com/us/app/easy-stop-watch-timer/id509970189?uo=4,2.13635,44,Life Science
